0 , 9.53674316406e-07
1 , 0.0
1 , 1.19209289551e-06
2 , 9.53674316406e-07
3 , 1.90734863281e-06
5 , 3.81469726562e-06
8 , 5.96046447754e-06
13 , 9.05990600586e-06
21 , 1.50203704834e-05
34 , 2.40802764893e-05
55 , 4.00543212891e-05
89 , 7.31945037842e-05
144 , 0.000110864639282
233 , 0.000185012817383
377 , 0.000262022018433
610 , 0.00023889541626
987 , 0.00038480758667
1597 , 0.000617027282715
2584 , 0.00100302696228
4181 , 0.00164699554443
6765 , 0.0026171207428
10946 , 0.00428795814514
17711 , 0.00711917877197
28657 , 0.0229258537292
46368 , 0.0184440612793
75025 , 0.0269920825958
121393 , 0.0435059070587
196418 , 0.0702948570251
317811 , 0.118853092194
514229 , 0.190874099731
832040 , 0.310719966888
1346269 , 0.511006116867
2178309 , 0.835010766983
3524578 , 1.33141994476
5702887 , 2.3339779377
